Run Name,Strategy,Status,Stop Reason,Total Iters,Exec Time (s),Size,Obstacles,Border,Sprayer,Initial Obj,Final Obj,Improvement (%),Final Coverage (%),Final Dist,Final Maneuver,Plot,History File
inst_19_medium_many_small_with_border_spray12_best,best,Success,max_time_secs,239,1834.7803938388824,medium,many_small,Yes,12,3181.118318454063,2461.554041272642,22.619852679076384,98.30489320827212,2408.256035709047,53.24715235984271,agricultural_csp/results\inst_19_medium_many_small_with_border_spray12_best_final.jpg,agricultural_csp/results\inst_19_medium_many_small_with_border_spray12_best_history.csv
inst_17_medium_many_small_no_border_spray12_best,best,Success,max_time_secs,229,1874.4067723751068,medium,many_small,No,12,4992.433041378954,3752.578353032077,24.834678363646482,99.46350845227249,3637.6246557853156,114.93760250032918,agricultural_csp/results\inst_17_medium_many_small_no_border_spray12_best_final.jpg,agricultural_csp/results\inst_17_medium_many_small_no_border_spray12_best_history.csv
inst_20_medium_many_small_with_border_spray20_best,best,Success,max_time_secs,435,1827.699666261673,medium,many_small,Yes,20,1542.2686887986624,1425.0647888673554,7.599447540013407,98.43563410556484,1412.0871055669513,12.93075232357116,agricultural_csp/results\inst_20_medium_many_small_with_border_spray20_best_final.jpg,agricultural_csp/results\inst_20_medium_many_small_with_border_spray20_best_history.csv
inst_21_medium_few_large_no_border_spray12_best,best,Success,max_time_secs,220,1859.4460062980652,medium,few_large,No,12,4332.031049472159,3472.022831835145,19.85230963988133,99.67915545435727,3395.6644478066146,76.34875869216097,agricultural_csp/results\inst_21_medium_few_large_no_border_spray12_best_final.jpg,agricultural_csp/results\inst_21_medium_few_large_no_border_spray12_best_history.csv
inst_23_medium_few_large_with_border_spray12_best,best,Success,max_time_secs,227,1836.4207510948181,medium,few_large,Yes,12,3175.159200551344,2914.5014104157376,8.209282548426074,98.66758557316793,2865.3031392063385,49.158298776594094,agricultural_csp/results\inst_23_medium_few_large_with_border_spray12_best_final.jpg,agricultural_csp/results\inst_23_medium_few_large_with_border_spray12_best_history.csv
inst_22_medium_few_large_no_border_spray20_best,best,Success,max_time_secs,274,1857.176206111908,medium,few_large,No,20,2589.0399334442595,1863.2540371680752,28.03301281300264,99.68801996672212,1836.030859561673,27.21381820540396,agricultural_csp/results\inst_22_medium_few_large_no_border_spray20_best_final.jpg,agricultural_csp/results\inst_22_medium_few_large_no_border_spray20_best_history.csv
inst_24_medium_few_large_with_border_spray20_best,best,Success,max_time_secs,452,1821.7286875247955,medium,few_large,Yes,20,1337.2303183542122,1313.8366953377079,1.749408661725219,92.87438225491323,1248.719217871409,64.90370893394632,agricultural_csp/results\inst_24_medium_few_large_with_border_spray20_best_final.jpg,agricultural_csp/results\inst_24_medium_few_large_with_border_spray20_best_history.csv
inst_28_large_none_with_border_spray20_best,best,Success,max_time_secs,117,1955.7957832813263,large,none,Yes,20,4573.136891279728,4304.116362581757,5.88262575762715,97.65005662514157,4207.493934913792,96.55192936671942,agricultural_csp/results\inst_28_large_none_with_border_spray20_best_final.jpg,agricultural_csp/results\inst_28_large_none_with_border_spray20_best_history.csv
inst_27_large_none_with_border_spray12_best,best,Success,max_time_secs,94,1985.505245923996,large,none,Yes,12,8495.064205079962,7887.335328479883,7.153905631892254,98.30667920978364,7210.642515045071,676.6420138111049,agricultural_csp/results\inst_27_large_none_with_border_spray12_best_final.jpg,agricultural_csp/results\inst_27_large_none_with_border_spray12_best_history.csv
inst_30_large_many_small_no_border_spray20_best,best,Success,max_time_secs,148,1954.748010635376,large,many_small,No,20,5913.016673389808,4797.183504499884,18.87079354792754,99.64143247725337,4684.796025985521,112.37672148868091,agricultural_csp/results\inst_30_large_many_small_no_border_spray20_best_final.jpg,agricultural_csp/results\inst_30_large_many_small_no_border_spray20_best_history.csv
inst_26_large_none_no_border_spray20_best,best,Success,max_time_secs,88,2034.1239030361176,large,none,No,20,6322.0,5121.507803574838,18.989120474931376,100.0,4981.268246953005,140.2395566218335,agricultural_csp/results\inst_26_large_none_no_border_spray20_best_final.jpg,agricultural_csp/results\inst_26_large_none_no_border_spray20_best_history.csv
inst_25_large_none_no_border_spray12_best,best,Success,max_time_secs,78,2070.445684671402,large,none,No,12,10891.0,10063.981777594767,7.593593080573255,100.0,9154.62819912994,909.3535784648263,agricultural_csp/results\inst_25_large_none_no_border_spray12_best_final.jpg,agricultural_csp/results\inst_25_large_none_no_border_spray12_best_history.csv
inst_29_large_many_small_no_border_spray12_best,best,Success,max_time_secs,106,2017.7864544391632,large,many_small,No,12,10449.009948910998,9354.116464182971,10.478442360389728,99.6773326162947,8576.480474090105,777.6263100713543,agricultural_csp/results\inst_29_large_many_small_no_border_spray12_best_final.jpg,agricultural_csp/results\inst_29_large_many_small_no_border_spray12_best_history.csv
inst_32_large_many_small_with_border_spray20_best,best,Success,max_time_secs,215,1896.7018496990204,large,many_small,Yes,20,3875.1751396248033,3520.6875562497385,9.147653218310708,98.8830015752542,3466.0788446769575,54.57520162003879,agricultural_csp/results\inst_32_large_many_small_with_border_spray20_best_final.jpg,agricultural_csp/results\inst_32_large_many_small_with_border_spray20_best_history.csv
inst_31_large_many_small_with_border_spray12_best,best,Success,max_time_secs,135,1969.1017858982086,large,many_small,Yes,12,8328.08606557377,7420.551680323649,10.897274332954392,97.45520396492566,6885.293889052368,535.181447390229,agricultural_csp/results\inst_31_large_many_small_with_border_spray12_best_final.jpg,agricultural_csp/results\inst_31_large_many_small_with_border_spray12_best_history.csv
inst_34_large_few_large_no_border_spray20_best,best,Success,max_time_secs,154,1977.3064980506897,large,few_large,No,20,5541.026366916459,4232.726030069651,23.611155230341698,99.64381533906929,4153.243674466774,79.4716700630491,agricultural_csp/results\inst_34_large_few_large_no_border_spray20_best_final.jpg,agricultural_csp/results\inst_34_large_few_large_no_border_spray20_best_history.csv
inst_35_large_few_large_with_border_spray12_best,best,Success,max_time_secs,151,1943.6798858642578,large,few_large,Yes,12,7875.08258906664,7121.510873401942,9.569064287794495,98.24320345470605,6622.880593636552,498.57757586903153,agricultural_csp/results\inst_35_large_few_large_with_border_spray12_best_final.jpg,agricultural_csp/results\inst_35_large_few_large_with_border_spray12_best_history.csv
inst_33_large_few_large_no_border_spray12_best,best,Success,max_time_secs,110,2044.492636680603,large,few_large,No,12,10345.00880653151,9382.102054000772,9.307935551710592,99.74772956609486,8581.315873846701,800.7786120410547,agricultural_csp/results\inst_33_large_few_large_no_border_spray12_best_final.jpg,agricultural_csp/results\inst_33_large_few_large_no_border_spray12_best_history.csv
inst_36_large_few_large_with_border_spray20_best,best,Success,max_time_secs,173,1907.1217031478882,large,few_large,Yes,20,4109.172197448926,3476.045557774204,15.40764439289701,97.21041169760448,3420.111336546185,55.85053357894705,agricultural_csp/results\inst_36_large_few_large_with_border_spray20_best_final.jpg,agricultural_csp/results\inst_36_large_few_large_with_border_spray20_best_history.csv
