Iteration,Best_Obj,Best_Cov_Pen,Best_Dist,Best_Man_Pen,Current_Obj,Current_Cov_Pen,Current_Dist,Current_Man_Pen
0,6322.0,0.0,6044.0,278.0,6322.0,0.0,6044.0,278.0
1,6322.0,0.0,6044.0,278.0,6322.0,0.0,6044.0,278.0
2,6301.0,0.0,6024.0,277.0,6301.0,0.0,6024.0,277.0
3,6282.223653032506,0.0,6007.61730409337,274.6063489391366,6282.223653032506,0.0,6007.61730409337,274.6063489391366
4,6261.18118267062,0.0,5988.818340355845,272.3628423147746,6261.18118267062,0.0,5988.818340355845,272.3628423147746
5,6240.63112873652,0.0,5970.681764754767,269.94936398175315,6240.63112873652,0.0,5970.681764754767,269.94936398175315
6,6221.34785553507,0.0,5953.645523353033,267.7023321820368,6221.34785553507,0.0,5953.645523353033,267.7023321820368
7,6202.890389779247,0.0,5937.554520153233,265.33586962601396,6202.890389779247,0.0,5937.554520153233,265.33586962601396
8,6184.695267828028,0.0,5921.554520153233,263.1407476747944,6184.695267828028,0.0,5921.554520153233,263.1407476747944
9,6166.809359855351,0.0,5906.051433615867,260.75792623948496,6166.809359855351,0.0,5906.051433615867,260.75792623948496
10,6150.478122119429,0.0,5892.106946370507,258.3711757489219,6150.478122119429,0.0,5892.106946370507,258.3711757489219
11,6133.555333624339,0.0,5877.553112217139,256.0022214072008,6133.555333624339,0.0,5877.553112217139,256.0022214072008
12,6115.935052387835,0.0,5862.274471767134,253.66058062070093,6115.935052387835,0.0,5862.274471767134,253.66058062070093
13,6100.633537197669,0.0,5849.387170139342,251.24636705832782,6100.633537197669,0.0,5849.387170139342,251.24636705832782
14,6083.838384936445,0.0,5834.996157768872,248.8422271675735,6083.838384936445,0.0,5834.996157768872,248.8422271675735
15,6065.6536993127975,0.0,5819.18620398833,246.4674953244676,6065.6536993127975,0.0,5819.18620398833,246.4674953244676
16,6049.303143517815,0.0,5805.244976720183,244.0581667976323,6049.303143517815,0.0,5805.244976720183,244.0581667976323
17,6034.00162832765,0.0,5792.357675092391,241.6439532352592,6034.00162832765,0.0,5792.357675092391,241.6439532352592
18,6018.7001131374855,0.0,5779.470373464599,239.2297396728861,6018.7001131374855,0.0,5779.470373464599,239.2297396728861
19,6003.398597947321,0.0,5766.583071836808,236.815526110513,6003.398597947321,0.0,5766.583071836808,236.815526110513
20,5988.453586021564,0.0,5753.695770209016,234.7578158125477,5988.453586021564,0.0,5753.695770209016,234.7578158125477
21,5974.341430820323,0.0,5740.808468581224,233.53296223909948,5974.341430820323,0.0,5740.808468581224,233.53296223909948
22,5957.260829282052,0.0,5725.993979791809,231.2668494902438,5957.260829282052,0.0,5725.993979791809,231.2668494902438
23,5941.959314091887,0.0,5713.106678164017,228.8526359278707,5941.959314091887,0.0,5713.106678164017,228.8526359278707
24,5926.295827558793,0.0,5699.355901759012,226.93992579977996,5926.295827558793,0.0,5699.355901759012,226.93992579977996
25,5910.994312368627,0.0,5686.46860013122,224.52571223740685,5910.994312368627,0.0,5686.46860013122,224.52571223740685
26,5896.129961049449,0.0,5673.581298503428,222.54866254602067,5896.129961049449,0.0,5673.581298503428,222.54866254602067
27,5882.6249502657265,0.0,5662.488546597576,220.13640366815105,5882.6249502657265,0.0,5662.488546597576,220.13640366815105
28,5868.64309598337,0.0,5650.913887404679,217.72920857869047,5868.64309598337,0.0,5650.913887404679,217.72920857869047
29,5854.661241701013,0.0,5639.339228211783,215.3220134892299,5854.661241701013,0.0,5639.339228211783,215.3220134892299
30,5841.1562309172905,0.0,5628.246476305931,212.90975461136028,5841.1562309172905,0.0,5628.246476305931,212.90975461136028
