Iteration,Best_Obj,Best_Cov_Pen,Best_Dist,Best_Man_Pen,Current_Obj,Current_Cov_Pen,Current_Dist,Current_Man_Pen
0,2862.0,0.0,2720.0,142.0,2862.0,0.0,2720.0,142.0
1,2862.0,0.0,2720.0,142.0,2862.0,0.0,2720.0,142.0
2,2849.041630560343,0.0,2709.455844122716,139.5857864376269,2849.041630560343,0.0,2709.455844122716,139.5857864376269
3,2840.4193961492615,0.0,2703.1535597263082,137.26583642295319,2840.4193961492615,0.0,2703.1535597263082,137.26583642295319
4,2827.461026709604,0.0,2692.609403849024,134.85162286058008,2827.461026709604,0.0,2692.609403849024,134.85162286058008
5,2823.4621855057217,0.0,2690.6569959322815,132.8051895734402,2823.4621855057217,0.0,2690.6569959322815,132.8051895734402
6,2819.4673958387325,0.0,2688.7567471745233,130.7106486642092,2819.4673958387325,0.0,2688.7567471745233,130.7106486642092
7,2806.9232399614484,0.0,2678.212591297239,128.7106486642092,2806.9232399614484,0.0,2678.212591297239,128.7106486642092
8,2802.9275330433125,0.0,2676.3033133316135,126.624219711699,2802.9275330433125,0.0,2676.3033133316135,126.624219711699
9,2784.7428474196645,0.0,2660.4933595510715,124.24948786859306,2784.7428474196645,0.0,2660.4933595510715,124.24948786859306
10,2781.056013263318,0.0,2657.286739023352,123.76927423996625,2781.056013263318,0.0,2657.286739023352,123.76927423996625
11,2773.9947852567648,0.0,2652.167352041173,121.82743321559137,2773.9947852567648,0.0,2652.167352041173,121.82743321559137
12,2761.0364158171074,0.0,2641.623196163889,119.41321965321826,2761.0364158171074,0.0,2641.623196163889,119.41321965321826
13,2749.0568327836922,0.0,2632.0363073953563,117.02052538833588,2749.0568327836922,0.0,2632.0363073953563,117.02052538833588
14,2745.062043116703,0.0,2630.136058637598,114.9259844791049,2745.062043116703,0.0,2630.136058637598,114.9259844791049
15,2739.253596158687,0.0,2625.345591128153,113.9080050305337,2739.253596158687,0.0,2625.345591128153,113.9080050305337
16,2735.308179258541,0.0,2623.3931832114104,111.91499604713026,2735.308179258541,0.0,2623.3931832114104,111.91499604713026
17,2719.427271745117,0.0,2609.863951334753,109.56332041036417,2719.427271745117,0.0,2609.863951334753,109.56332041036417
18,2703.0767159501347,0.0,2595.922724066606,107.15399188352889,2703.0767159501347,0.0,2595.922724066606,107.15399188352889
19,2700.476958785203,0.0,2594.416860929286,106.06009785591694,2700.476958785203,0.0,2594.416860929286,106.06009785591694
20,2696.478237618383,0.0,2592.466829718288,104.0114079000952,2696.478237618383,0.0,2592.466829718288,104.0114079000952
21,2696.442506747711,0.0,2592.4513334434737,103.99117330423738,2696.442506747711,0.0,2592.4513334434737,103.99117330423738
22,2687.7504554277352,0.0,2585.9919926720117,101.75846275572337,2687.7504554277352,0.0,2585.9919926720117,101.75846275572337
23,2677.351884722379,0.0,2577.315800251393,100.03608447098635,2677.351884722379,0.0,2577.315800251393,100.03608447098635
24,2668.0689877282316,0.0,2569.907060533367,98.16192719486482,2668.0689877282316,0.0,2569.907060533367,98.16192719486482
25,2652.422270452846,0.0,2556.6221800347384,95.80009041810771,2652.422270452846,0.0,2556.6221800347384,95.80009041810771
26,2638.8863951708177,0.0,2545.3917326564388,93.4946625143787,2638.8863951708177,0.0,2545.3917326564388,93.4946625143787
27,2634.93395310043,0.0,2543.502502932714,91.43145016771577,2634.93395310043,0.0,2543.502502932714,91.43145016771577
28,2632.7241084619664,0.0,2541.6920975983585,91.03201086360774,2632.7241084619664,0.0,2541.6920975983585,91.03201086360774
29,2632.1634572103508,0.0,2541.1585983592604,91.00485885109018,2632.1634572103508,0.0,2541.1585983592604,91.00485885109018
30,2630.2740565715358,0.0,2539.584799880234,90.6892566913018,2630.2740565715358,0.0,2539.584799880234,90.6892566913018
31,2629.986050846116,0.0,2539.175445665631,90.81060518048537,2629.986050846116,0.0,2539.175445665631,90.81060518048537
32,2626.70754806942,0.0,2536.738965694826,89.968582374594,2626.70754806942,0.0,2536.738965694826,89.968582374594
33,2620.2183123742834,0.0,2531.1831642013904,89.03514817289323,2620.2183123742834,0.0,2531.1831642013904,89.03514817289323
34,2611.301542041143,0.0,2523.2100150716747,88.09152696946826,2611.301542041143,0.0,2523.2100150716747,88.09152696946826
35,2595.915264729075,0.0,2510.1957264407465,85.71953828832818,2595.915264729075,0.0,2510.1957264407465,85.71953828832818
36,2574.915264729075,0.0,2490.1957264407465,84.71953828832817,2574.915264729075,0.0,2490.1957264407465,84.71953828832817
37,2574.915264729075,0.0,2490.1957264407465,84.71953828832817,2574.996640754763,0.0,2489.9651459337706,85.03149482099249
38,2571.1956573056796,0.0,2486.758525406051,84.4371318996285,2571.1956573056796,0.0,2486.758525406051,84.4371318996285
39,2570.4271707743346,0.0,2485.8905401151696,84.5366306591652,2570.4271707743346,0.0,2485.8905401151696,84.5366306591652
40,2566.5769596077716,0.0,2482.4822880757115,84.09467153206022,2566.5769596077716,0.0,2482.4822880757115,84.09467153206022
41,2561.9348348982903,0.0,2478.3513732538663,83.58346164442413,2561.9348348982903,0.0,2478.3513732538663,83.58346164442413
42,2557.0733944729986,0.0,2473.400329878736,83.67306459426274,2557.0733944729986,0.0,2473.400329878736,83.67306459426274
43,2543.06559189424,0.0,2461.132467373373,81.9331245208668,2543.06559189424,0.0,2461.132467373373,81.9331245208668
44,2529.8817335412787,0.0,2449.489844042534,80.39188949874467,2529.8817335412787,0.0,2449.489844042534,80.39188949874467
45,2529.098942251783,0.0,2448.600515399284,80.4984268524985,2529.098942251783,0.0,2448.600515399284,80.4984268524985
46,2517.995199324682,0.0,2439.6604435715676,78.33475575311435,2517.995199324682,0.0,2439.6604435715676,78.33475575311435
47,2500.396833793305,0.0,2423.569440371768,76.82739342153714,2500.396833793305,0.0,2423.569440371768,76.82739342153714
48,2499.334041751241,0.0,2422.431785904029,76.90225584721223,2499.334041751241,0.0,2422.431785904029,76.90225584721223
49,2499.166128633345,0.0,2422.3002627439178,76.86586588942734,2499.166128633345,0.0,2422.3002627439178,76.86586588942734
50,2490.6397768148577,0.0,2415.468460670025,75.17131614483276,2490.6397768148577,0.0,2415.468460670025,75.17131614483276
51,2487.0520182104847,0.0,2412.261840142305,74.79017806817977,2487.0520182104847,0.0,2412.261840142305,74.79017806817977
52,2483.1969488418467,0.0,2410.35256217668,72.84438666516671,2483.1969488418467,0.0,2410.35256217668,72.84438666516671
53,2483.1691756449814,0.0,2410.2974117294616,72.87176391551986,2483.1691756449814,0.0,2410.2974117294616,72.87176391551986
54,2482.811776548222,0.0,2410.0811933301297,72.7305832180925,2482.811776548222,0.0,2410.0811933301297,72.7305832180925
55,2481.1877380382953,0.0,2408.5338764451326,72.65386159316276,2481.1877380382953,0.0,2408.5338764451326,72.65386159316276
56,2478.0636578702365,0.0,2405.386467125617,72.67719074461964,2478.0636578702365,0.0,2405.386467125617,72.67719074461964
57,2476.4120571745584,0.0,2403.9796753482824,72.43238182627594,2476.4120571745584,0.0,2403.9796753482824,72.43238182627594
58,2462.425412400501,0.0,2391.0923737204907,71.33303868001019,2462.425412400501,0.0,2391.0923737204907,71.33303868001019
