Iteration,Best_Obj,Best_Cov_Pen,Best_Dist,Best_Man_Pen,Current_Obj,Current_Cov_Pen,Current_Dist,Current_Man_Pen
0,2862.0,0.0,2720.0,142.0,2862.0,0.0,2720.0,142.0
1,2862.0,0.0,2720.0,142.0,2862.0,0.0,2720.0,142.0
2,2858.0011587961176,0.0,2718.0475920832573,139.95356671286012,2858.0011587961176,0.0,2718.0475920832573,139.95356671286012
3,2845.04278935646,0.0,2707.5034362059732,137.53935315048702,2845.04278935646,0.0,2707.5034362059732,137.53935315048702
4,2835.6582486543734,0.0,2700.2955923147156,135.36265633965792,2835.6582486543734,0.0,2700.2955923147156,135.36265633965792
5,2822.6998792147165,0.0,2689.7514364374315,132.9484427772848,2822.6998792147165,0.0,2689.7514364374315,132.9484427772848
6,2818.704172296581,0.0,2687.842158471806,130.86201382477458,2818.704172296581,0.0,2687.842158471806,130.86201382477458
7,2808.5613322322424,0.0,2679.4754661245897,129.08586610765292,2808.5613322322424,0.0,2679.4754661245897,129.08586610765292
8,2799.8021240935414,0.0,2673.016125353128,126.78599874041356,2799.8021240935414,0.0,2673.016125353128,126.78599874041356
9,2788.202339764633,0.0,2663.8196338551106,124.3827059095223,2788.202339764633,0.0,2663.8196338551106,124.3827059095223
10,2777.448896926854,0.0,2655.452941507895,121.99595541895924,2777.448896926854,0.0,2655.452941507895,121.99595541895924
11,2775.6370517759797,0.0,2654.7326221634967,120.90442961248317,2775.6370517759797,0.0,2654.7326221634967,120.90442961248317
12,2763.507109461069,0.0,2644.1884662862126,119.31864317485628,2763.507109461069,0.0,2644.1884662862126,119.31864317485628
13,2756.445881454515,0.0,2639.0690793040335,117.3768021504814,2756.445881454515,0.0,2639.0690793040335,117.3768021504814
14,2741.0596041424465,0.0,2626.0547906731053,115.00481346934131,2741.0596041424465,0.0,2626.0547906731053,115.00481346934131
15,2741.041002048304,0.0,2626.0394482669317,115.00155378137248,2741.041002048304,0.0,2626.0394482669317,115.00155378137248
16,2727.5051267662757,0.0,2614.809000888632,112.69612587764347,2727.5051267662757,0.0,2614.809000888632,112.69612587764347
17,2709.619218793599,0.0,2599.305914351265,110.31330444233404,2709.619218793599,0.0,2599.305914351265,110.31330444233404
18,2700.3363217994515,0.0,2591.897174633239,108.4391471662125,2700.3363217994515,0.0,2591.897174633239,108.4391471662125
19,2693.4245519255637,0.0,2585.897880164233,107.52667176133085,2693.4245519255637,0.0,2585.897880164233,107.52667176133085
20,2689.836793321191,0.0,2582.691259636513,107.14553368467786,2689.836793321191,0.0,2582.691259636513,107.14553368467786
21,2673.955885807767,0.0,2569.1620277598554,104.79385804791177,2673.955885807767,0.0,2569.1620277598554,104.79385804791177
22,2669.961096140778,0.0,2567.2617790020972,102.69931713868078,2669.961096140778,0.0,2567.2617790020972,102.69931713868078
23,2667.602983630066,0.0,2564.811983689218,102.79099994084807,2667.602983630066,0.0,2564.811983689218,102.79099994084807
24,2665.8569359845137,0.0,2563.368481534666,102.48845444984782,2665.8569359845137,0.0,2563.368481534666,102.48845444984782
25,2647.6722503608657,0.0,2547.558527754124,100.11372260674189,2647.6722503608657,0.0,2547.558527754124,100.11372260674189
26,2634.0042152598253,0.0,2536.18494358578,97.81927167404565,2634.0042152598253,0.0,2536.18494358578,97.81927167404565
27,2618.35749798444,0.0,2522.9000630871515,95.45743489728855,2618.35749798444,0.0,2522.9000630871515,95.45743489728855
28,2614.5374997423364,0.0,2520.950031876153,93.5874678661835,2614.5374997423364,0.0,2520.950031876153,93.5874678661835
29,2604.213189949879,0.0,2512.583339528937,91.62985042094226,2604.213189949879,0.0,2512.583339528937,91.62985042094226
30,2600.5461833106424,0.0,2509.731206627529,90.8149766831134,2600.5461833106424,0.0,2509.731206627529,90.8149766831134
31,2600.5461833106424,0.0,2509.731206627529,90.8149766831134,2600.6275593363307,0.0,2509.500626120553,91.12693321577773
32,2579.6275593363307,0.0,2489.500626120553,90.12693321577771,2579.6275593363307,0.0,2489.500626120553,90.12693321577771
33,2575.7321486962474,0.0,2486.2940055928334,89.4381431034138,2575.7321486962474,0.0,2486.2940055928334,89.4381431034138
34,2575.704375499382,0.0,2486.238855145615,89.46552035376695,2575.704375499382,0.0,2486.238855145615,89.46552035376695
35,2561.6965729206236,0.0,2473.9709926402525,87.725580280371,2561.6965729206236,0.0,2473.9709926402525,87.725580280371
36,2561.130821317955,0.0,2473.72381700943,87.40700430852476,2561.130821317955,0.0,2473.72381700943,87.40700430852476
37,2552.482076080754,0.0,2466.3862816598653,86.09579442088868,2552.482076080754,0.0,2466.3862816598653,86.09579442088868
38,2551.6167481289285,0.0,2465.610554882859,86.00619324606947,2551.6167481289285,0.0,2465.610554882859,86.00619324606947
39,2536.4578390309825,0.0,2451.669327614712,84.7885114162707,2536.4578390309825,0.0,2451.669327614712,84.7885114162707
40,2532.606305113752,0.0,2449.760049649087,82.8462554646655,2532.606305113752,0.0,2449.760049649087,82.8462554646655
41,2524.977718435917,0.0,2442.569645890247,82.40807254566964,2524.977718435917,0.0,2442.569645890247,82.40807254566964
42,2524.724355487727,0.0,2442.36588268763,82.35847280009715,2524.724355487727,0.0,2442.36588268763,82.35847280009715
43,2523.331819189918,0.0,2441.291865526816,82.0399536631022,2523.331819189918,0.0,2441.291865526816,82.0399536631022
44,2522.9744200931586,0.0,2441.075647127484,81.89877296567484,2522.9744200931586,0.0,2441.075647127484,81.89877296567484
45,2522.879441976907,0.0,2441.0367389217818,81.84270305512526,2522.879441976907,0.0,2441.0367389217818,81.84270305512526
46,2510.5139581767007,0.0,2430.4144417054094,80.09951647129138,2510.5139581767007,0.0,2430.4144417054094,80.09951647129138
47,2506.586325328437,0.0,2428.5141929476513,78.07213238078576,2506.586325328437,0.0,2428.5141929476513,78.07213238078576
48,2505.8276147703355,0.0,2427.7426028396603,78.08501193067522,2505.8276147703355,0.0,2427.7426028396603,78.08501193067522
49,2494.723871843235,0.0,2418.8025310119438,75.92134083129109,2494.723871843235,0.0,2418.8025310119438,75.92134083129109
50,2490.778454943088,0.0,2416.8501230952006,73.92833184788765,2490.778454943088,0.0,2416.8501230952006,73.92833184788765
51,2487.6543747750293,0.0,2413.702713775685,73.95166099934454,2487.6543747750293,0.0,2413.702713775685,73.95166099934454
52,2486.5101012636133,0.0,2412.5650593079463,73.94504195566715,2486.5101012636133,0.0,2412.5650593079463,73.94504195566715
53,2486.2220955381936,0.0,2412.155705093343,74.06639044485073,2486.2220955381936,0.0,2412.155705093343,74.06639044485073
54,2468.705211476169,0.0,2396.0647018935433,72.64050958262598,2468.705211476169,0.0,2396.0647018935433,72.64050958262598
55,2454.7185667021113,0.0,2383.177400265751,71.54116643636024,2454.7185667021113,0.0,2383.177400265751,71.54116643636024
56,2453.066966006433,0.0,2381.7706084884167,71.29635751801653,2453.066966006433,0.0,2381.7706084884167,71.29635751801653
57,2447.83396951336,0.0,2377.1685810120057,70.66538850135414,2447.83396951336,0.0,2377.1685810120057,70.66538850135414
58,2437.454517833193,0.0,2367.6947858476,69.75973198559295,2437.454517833193,0.0,2367.6947858476,69.75973198559295
