Iteration,Best_Obj,Best_Cov_Pen,Best_Dist,Best_Man_Pen,Current_Obj,Current_Cov_Pen,Current_Dist,Current_Man_Pen
0,2862.0,0.0,2720.0,142.0,2862.0,0.0,2720.0,142.0
1,2862.0,0.0,2720.0,142.0,2862.0,0.0,2720.0,142.0
2,2849.041630560343,0.0,2709.455844122716,139.5857864376269,2849.041630560343,0.0,2709.455844122716,139.5857864376269
3,2836.0832611206856,0.0,2698.911688245432,137.1715728752538,2836.0832611206856,0.0,2698.911688245432,137.1715728752538
4,2825.3298182829067,0.0,2690.544995898216,134.7848223846907,2825.3298182829067,0.0,2690.544995898216,134.7848223846907
5,2816.5558803542613,0.0,2683.337152006958,133.21872834730306,2816.5558803542613,0.0,2683.337152006958,133.21872834730306
6,2812.561090687272,0.0,2681.4369032492,131.12418743807206,2812.561090687272,0.0,2681.4369032492,131.12418743807206
7,2799.6027212476147,0.0,2670.892747371916,128.70997387569895,2799.6027212476147,0.0,2670.892747371916,128.70997387569895
8,2795.603880043732,0.0,2668.9403394551728,126.66354058855909,2795.603880043732,0.0,2668.9403394551728,126.66354058855909
9,2781.935844942692,0.0,2657.566755286829,124.36908965586285,2781.935844942692,0.0,2657.566755286829,124.36908965586285
10,2766.054937429268,0.0,2644.0375234101716,122.01741401909676,2766.054937429268,0.0,2644.0375234101716,122.01741401909676
11,2754.7581178979567,0.0,2635.097451582455,119.66066631550179,2754.7581178979567,0.0,2635.097451582455,119.66066631550179
12,2747.3247329579444,0.0,2629.3583801152113,117.96635284273293,2747.3247329579444,0.0,2629.3583801152113,117.96635284273293
13,2743.3299432909553,0.0,2627.458131357453,115.87181193350195,2743.3299432909553,0.0,2627.458131357453,115.87181193350195
14,2739.335153623966,0.0,2625.557882599695,113.77727102427096,2739.335153623966,0.0,2625.557882599695,113.77727102427096
15,2718.335153623966,0.0,2605.557882599695,112.77727102427096,2718.335153623966,0.0,2605.557882599695,112.77727102427096
16,2713.7574051494234,0.0,2601.243359499325,112.51404565009857,2713.7574051494234,0.0,2601.243359499325,112.51404565009857
17,2710.070570993077,0.0,2598.0367389716052,112.03383202147175,2710.070570993077,0.0,2598.0367389716052,112.03383202147175
18,2697.1122015534197,0.0,2587.492583094321,109.61961845909865,2697.1122015534197,0.0,2587.492583094321,109.61961845909865
19,2689.9576275074887,0.0,2580.929568384671,109.0280591228181,2689.9576275074887,0.0,2580.929568384671,109.0280591228181
20,2676.4217522254603,0.0,2569.699121006371,106.72263121908908,2676.4217522254603,0.0,2569.699121006371,106.72263121908908
21,2672.7349180691135,0.0,2566.4925004786514,106.24241759046227,2672.7349180691135,0.0,2566.4925004786514,106.24241759046227
22,2659.7765486294566,0.0,2555.9483446013674,103.82820402808916,2659.7765486294566,0.0,2555.9483446013674,103.82820402808916
23,2648.1767643005483,0.0,2546.75185310335,101.4249111971979,2648.1767643005483,0.0,2546.75185310335,101.4249111971979
24,2644.2477723959673,0.0,2544.7994451866075,99.44832720935976,2644.2477723959673,0.0,2544.7994451866075,99.44832720935976
25,2642.6846752950187,0.0,2543.669821667786,99.01485362723288,2642.6846752950187,0.0,2543.669821667786,99.01485362723288
26,2631.9312324572397,0.0,2535.30312932057,96.62810313666982,2631.9312324572397,0.0,2535.30312932057,96.62810313666982
27,2625.6097279709966,0.0,2530.744037306866,94.8656906641303,2625.6097279709966,0.0,2530.744037306866,94.8656906641303
28,2607.4250423473486,0.0,2514.9340835263242,92.49095882102436,2607.4250423473486,0.0,2514.9340835263242,92.49095882102436
29,2598.142145353201,0.0,2507.525343808298,90.61680154490283,2598.142145353201,0.0,2507.525343808298,90.61680154490283
30,2584.134342774442,0.0,2495.257481302935,88.87686147150688,2584.134342774442,0.0,2495.257481302935,88.87686147150688
31,2581.5396298483292,0.0,2492.9508862635857,88.58874358474343,2581.5396298483292,0.0,2492.9508862635857,88.58874358474343
32,2577.6894186817653,0.0,2489.542634224127,88.14678445763843,2577.6894186817653,0.0,2489.542634224127,88.14678445763843
33,2574.9760254873495,0.0,2486.994845336322,87.98118015102743,2574.9760254873495,0.0,2486.994845336322,87.98118015102743
34,2574.1932341978536,0.0,2486.1055166930723,88.08771750478125,2574.1932341978536,0.0,2486.1055166930723,88.08771750478125
35,2559.0343250999076,0.0,2472.1642894249253,86.87003567498247,2559.0343250999076,0.0,2472.1642894249253,86.87003567498247
36,2558.4606763969305,0.0,2471.9171137941034,86.54356260282702,2558.4606763969305,0.0,2471.9171137941034,86.54356260282702
37,2550.0175682383656,0.0,2464.5795784445386,85.43798979382694,2550.0175682383656,0.0,2464.5795784445386,85.43798979382694
38,2536.8337098854045,0.0,2452.9369551136997,83.89675477170482,2536.8337098854045,0.0,2452.9369551136997,83.89675477170482
39,2519.31682582338,0.0,2436.8459519139,82.47087390948009,2519.31682582338,0.0,2436.8459519139,82.47087390948009
40,2507.562029419384,0.0,2426.596728318904,80.96530110048002,2507.562029419384,0.0,2426.596728318904,80.96530110048002
41,2505.540276324393,0.0,2425.7669291681023,79.77334715629044,2505.540276324393,0.0,2425.7669291681023,79.77334715629044
42,2499.4871892020647,0.0,2420.815885792972,78.67130340909254,2499.4871892020647,0.0,2420.815885792972,78.67130340909254
43,2496.3358628678493,0.0,2417.995670309822,78.34019255802724,2496.3358628678493,0.0,2417.995670309822,78.34019255802724
44,2487.809511049362,0.0,2411.1638682359294,76.64564281343266,2487.809511049362,0.0,2411.1638682359294,76.64564281343266
45,2487.809511049362,0.0,2411.1638682359294,76.64564281343266,2487.896248418676,0.0,2410.9332877289535,76.96296068972237
46,2485.020006654987,0.0,2409.667430522497,75.35257613249009,2485.020006654987,0.0,2409.667430522497,75.35257613249009
47,2481.254215406785,0.0,2406.5296575812195,74.72455782556555,2481.254215406785,0.0,2406.5296575812195,74.72455782556555
48,2467.2675706327273,0.0,2393.6423559534273,73.6252146792998,2467.2675706327273,0.0,2393.6423559534273,73.6252146792998
49,2465.887165069908,0.0,2392.402795471255,73.48436959865268,2465.887165069908,0.0,2392.402795471255,73.48436959865268
50,2464.4946287720986,0.0,2391.328778310441,73.16585046165775,2464.4946287720986,0.0,2391.328778310441,73.16585046165775
51,2463.3965889038827,0.0,2390.5432357347668,72.8533531691158,2463.3965889038827,0.0,2390.5432357347668,72.8533531691158
52,2446.9001177399646,0.0,2375.5215405623585,71.37857717760629,2446.9001177399646,0.0,2375.5215405623585,71.37857717760629
53,2446.656484792857,0.0,2375.2137841595336,71.44270063332367,2446.656484792857,0.0,2375.2137841595336,71.44270063332367
54,2446.6482746369984,0.0,2375.1984417533595,71.44983288363879,2446.6482746369984,0.0,2375.1984417533595,71.44983288363879
55,2446.480361519102,0.0,2375.0669185932484,71.4134429258539,2446.480361519102,0.0,2375.0669185932484,71.4134429258539
56,2442.6252921504633,0.0,2373.1576406276226,69.46765152284082,2442.6252921504633,0.0,2373.1576406276226,69.46765152284082
57,2439.5012119824046,0.0,2370.010231308107,69.49098067429772,2439.5012119824046,0.0,2370.010231308107,69.49098067429772
58,2425.19969679224,0.0,2357.1229296803153,68.07676711192462,2425.19969679224,0.0,2357.1229296803153,68.07676711192462
