Iteration,Best_Obj,Best_Cov_Pen,Best_Dist,Best_Man_Pen,Current_Obj,Current_Cov_Pen,Current_Dist,Current_Man_Pen
0,2862.0,0.0,2720.0,142.0,2862.0,0.0,2720.0,142.0
1,2862.0,0.0,2720.0,142.0,2862.0,0.0,2720.0,142.0
2,2841.0,0.0,2700.0,141.0,2841.0,0.0,2700.0,141.0
3,2822.0,0.0,2682.0,140.0,2822.0,0.0,2682.0,140.0
4,2803.815314376352,0.0,2666.190046219458,137.62526815689407,2803.815314376352,0.0,2666.190046219458,137.62526815689407
5,2785.929406403676,0.0,2650.686959682091,135.24244672158466,2785.929406403676,0.0,2650.686959682091,135.24244672158466
6,2770.048498890252,0.0,2637.1577278054338,132.89077108481854,2770.048498890252,0.0,2637.1577278054338,132.89077108481854
7,2753.6979430952697,0.0,2623.2165005372863,130.48144255798326,2753.6979430952697,0.0,2623.2165005372863,130.48144255798326
8,2738.3116657832015,0.0,2610.202211906358,128.1094538768432,2738.3116657832015,0.0,2610.202211906358,128.1094538768432
9,2722.6649485078165,0.0,2596.91733140773,125.74761710008609,2722.6649485078165,0.0,2596.91733140773,125.74761710008609
10,2708.657145929057,0.0,2584.649468902367,124.00767702669013,2708.657145929057,0.0,2584.649468902367,124.00767702669013
11,2695.8402160579703,0.0,2573.5567169965143,122.28349906145607,2695.8402160579703,0.0,2573.5567169965143,122.28349906145607
12,2682.3043407759424,0.0,2562.326269618215,119.97807115772707,2682.3043407759424,0.0,2562.326269618215,119.97807115772707
13,2667.5804641632767,0.0,2550.29597333325,117.28449083002687,2667.5804641632767,0.0,2550.29597333325,117.28449083002687
14,2654.6220947236197,0.0,2539.751817455966,114.87027726765376,2654.6220947236197,0.0,2539.751817455966,114.87027726765376
15,2641.6637252839623,0.0,2529.207661578682,112.45606370528066,2641.6637252839623,0.0,2529.207661578682,112.45606370528066
16,2628.7053558443054,0.0,2518.6635057013978,110.04185014290755,2628.7053558443054,0.0,2518.6635057013978,110.04185014290755
17,2616.7257728108907,0.0,2509.0766169328654,107.64915587802517,2616.7257728108907,0.0,2509.0766169328654,107.64915587802517
18,2605.677591709131,0.0,2500.400424512246,105.2771671968851,2605.677591709131,0.0,2500.400424512246,105.2771671968851
19,2594.9241488713524,0.0,2492.0337321650304,102.89041670632204,2594.9241488713524,0.0,2492.0337321650304,102.89041670632204
20,2585.059431649691,0.0,2483.9787868371805,101.08064481251034,2585.059431649691,0.0,2483.9787868371805,101.08064481251034
21,2573.9728978291887,0.0,2476.3394666121785,97.63343121701038,2573.9728978291887,0.0,2476.3394666121785,97.63343121701038
22,2565.453758991902,0.0,2469.049985127179,96.40377386472284,2565.453758991902,0.0,2469.049985127179,96.40377386472284
23,2557.0109969266814,0.0,2460.6727617288625,96.3382351978187,2557.0109969266814,0.0,2460.6727617288625,96.3382351978187
24,2548.237058998036,0.0,2453.464917837605,94.77214116043103,2548.237058998036,0.0,2453.464917837605,94.77214116043103
25,2539.856995387475,0.0,2447.005577066143,92.851418321332,2539.856995387475,0.0,2447.005577066143,92.851418321332
26,2533.7209859886834,0.0,2440.5972471508867,93.1237388377966,2533.7209859886834,0.0,2440.5972471508867,93.1237388377966
27,2525.708253604318,0.0,2432.893938923319,92.81431468099895,2525.708253604318,0.0,2432.893938923319,92.81431468099895
28,2518.367658016127,0.0,2427.0305145243965,91.33714349173026,2518.367658016127,0.0,2427.0305145243965,91.33714349173026
29,2500.8195092647857,0.0,2410.9395113245964,89.87999794018926,2500.8195092647857,0.0,2410.9395113245964,89.87999794018926
30,2486.8328644907288,0.0,2398.052209696805,88.78065479392352,2486.8328644907288,0.0,2398.052209696805,88.78065479392352
31,2477.032758365328,0.0,2388.7142901369425,88.31846822838558,2477.032758365328,0.0,2388.7142901369425,88.31846822838558
32,2468.3712444239154,0.0,2380.880382084132,87.49086233978322,2468.3712444239154,0.0,2380.880382084132,87.49086233978322
33,2458.0173575276845,0.0,2371.406586919726,86.61077060795846,2458.0173575276845,0.0,2371.406586919726,86.61077060795846
34,2452.4538875353574,0.0,2365.8393230726824,86.61456446267498,2452.4538875353574,0.0,2365.8393230726824,86.61456446267498
35,2443.5591097173606,0.0,2357.337377256075,86.22173246128555,2443.5591097173606,0.0,2357.337377256075,86.22173246128555
36,2437.0814252026507,0.0,2351.811295286541,85.27012991610981,2437.0814252026507,0.0,2351.811295286541,85.27012991610981
37,2430.5026165749446,0.0,2346.0093343137264,84.49328226121806,2430.5026165749446,0.0,2346.0093343137264,84.49328226121806
38,2417.8978428494056,0.0,2334.4129715807794,83.48487126862598,2417.8978428494056,0.0,2334.4129715807794,83.48487126862598
39,2407.8915266024937,0.0,2325.9269132139725,81.96461338852116,2407.8915266024937,0.0,2325.9269132139725,81.96461338852116
40,2400.526965449527,0.0,2320.8075262317934,79.71943921773367,2400.526965449527,0.0,2320.8075262317934,79.71943921773367
41,2395.401969809415,0.0,2315.882432988231,79.51953682118382,2395.401969809415,0.0,2315.882432988231,79.51953682118382
42,2385.0531667221812,0.0,2306.2091634364924,78.84400328568877,2385.0531667221812,0.0,2306.2091634364924,78.84400328568877
43,2379.7205850928667,0.0,2301.4428347891226,78.2777503037443,2379.7205850928667,0.0,2301.4428347891226,78.2777503037443
44,2374.4977770449323,0.0,2296.840807312711,77.6569697322209,2374.4977770449323,0.0,2296.840807312711,77.6569697322209
45,2366.4652701665623,0.0,2289.1080095142574,77.35726065230476,2366.4652701665623,0.0,2289.1080095142574,77.35726065230476
46,2358.0611645245936,0.0,2280.8522307843477,77.2089337402458,2358.0611645245936,0.0,2280.8522307843477,77.2089337402458
47,2353.4020740483306,0.0,2276.0164190613286,77.38565498700184,2353.4020740483306,0.0,2276.0164190613286,77.38565498700184
48,2342.0487956505067,0.0,2265.8154950371954,76.23330061331139,2342.0487956505067,0.0,2265.8154950371954,76.23330061331139
49,2338.215020346222,0.0,2262.1955625719747,76.01945777424736,2338.215020346222,0.0,2262.1955625719747,76.01945777424736
50,2333.128728008948,0.0,2258.755782350536,74.37294565841232,2333.128728008948,0.0,2258.755782350536,74.37294565841232
51,2329.6475309312377,0.0,2255.549161822816,74.09836910842151,2329.6475309312377,0.0,2255.549161822816,74.09836910842151
52,2321.5932429007903,0.0,2248.2116264732513,73.3816164275392,2321.5932429007903,0.0,2248.2116264732513,73.3816164275392
53,2317.903469339343,0.0,2245.0050059455316,72.89846339381128,2317.903469339343,0.0,2245.0050059455316,72.89846339381128
54,2315.1815075637896,0.0,2242.295083148727,72.88642441506283,2315.1815075637896,0.0,2242.295083148727,72.88642441506283
55,2310.7797271593827,0.0,2238.3591478614676,72.42057929791514,2310.7797271593827,0.0,2238.3591478614676,72.42057929791514
56,2307.9864539631167,0.0,2235.7371467385556,72.24930722456116,2307.9864539631167,0.0,2235.7371467385556,72.24930722456116
